DATE,TIME,OPEN,HIGH,LOW,CLOSE,Volume,OI,
12 Dec2019,00:00:00,31406.30,31537.05,31405.00,31510.00,1197400,1530940,
11 Dec2019,00:00:00,31208.30,31395.75,31065.30,31314.25,2966280,1333800,
10 Dec2019,00:00:00,31440.10,31445.00,31188.35,31226.55,2683100,1435080,
9 Dec2019,00:00:00,31374.90,31612.10,31201.00,31397.65,3028980,1356640,
6 Dec2019,00:00:00,31799.95,31925.00,31323.00,31418.30,3850000,1486980,
5 Dec2019,00:00:00,32110.00,32179.95,31705.00,31762.50,4106360,1627260,
4 Dec2019,00:00:00,31624.95,32125.00,31511.25,32080.90,4103360,1702420,
3 Dec2019,00:00:00,31949.90,31949.90,31580.60,31711.20,2460720,1615980,
2 Dec2019,00:00:00,32079.95,32080.00,31762.30,31921.35,2450840,1661060,
29 Nov2019,00:00:00,32100.50,32148.00,31820.00,32003.85,2794880,1694740,
28 Nov2019,00:00:00,31874.25,32143.30,31874.25,32121.35,2712460,790640,
27 Nov2019,00:00:00,31738.60,31898.00,31705.00,31872.35,2339920,1136460,
26 Nov2019,00:00:00,31620.10,31791.85,31411.00,31648.90,3147680,1361080,
25 Nov2019,00:00:00,31080.10,31590.00,31049.05,31568.25,2993580,1450860,
22 Nov2019,00:00:00,31248.20,31329.70,31023.35,31114.70,2766840,1644360,
21 Nov2019,00:00:00,31299.95,31444.90,31223.60,31316.75,2678140,1794300,
20 Nov2019,00:00:00,31350.00,31434.40,31184.55,31321.25,2814080,1840580,
19 Nov2019,00:00:00,31059.95,31315.85,30950.00,31259.65,3219720,1901260,
18 Nov2019,00:00:00,31152.00,31182.00,30900.10,31017.85,2610280,1790560,
15 Nov2019,00:00:00,30902.20,31185.00,30859.60,31052.20,4021900,1800860,
14 Nov2019,00:00:00,30580.00,30830.00,30361.35,30770.55,4287220,1719940,
13 Nov2019,00:00:00,31083.95,31167.25,30538.80,30585.60,4093520,1714140,
11 Nov2019,00:00:00,30700.00,31222.85,30610.05,31097.80,3374840,1891320,
8 Nov2019,00:00:00,30630.00,31099.00,30493.55,30759.00,4722960,0,
7 Nov2019,00:00:00,30801.00,30848.95,30463.00,30664.35,3947020,1417460,
6 Nov2019,00:00:00,30260.30,30780.00,30052.00,30682.60,4683720,1333580,
5 Nov2019,00:00:00,30420.05,30519.90,30155.10,30294.15,3405440,1122860,
4 Nov2019,00:00:00,30457.95,30658.00,30267.00,30396.05,3445620,1062280,
1 Nov2019,00:00:00,30200.05,30449.45,30063.10,30374.10,3294800,948680,
31 Oct2019,00:00:00,30100.15,30399.10,29752.25,30077.60,3518720,462940,
30 Oct2019,00:00:00,30015.40,30151.40,29740.05,29986.45,3615400,760180,
29 Oct2019,00:00:00,29550.40,30040.00,29355.10,29900.45,3676760,844500,
27 Oct2019,00:00:00,29638.00,29760.00,29460.60,29497.30,430220,997600,
25 Oct2019,00:00:00,29280.10,29480.00,28912.60,29431.85,4545100,1000880,
24 Oct2019,00:00:00,29625.00,29742.55,29020.95,29180.50,5383900,1328280,
23 Oct2019,00:00:00,29400.00,29725.00,29122.00,29494.50,4050880,1198340,
22 Oct2019,00:00:00,29397.00,29747.00,28851.40,29492.50,4372040,1253820,
18 Oct2019,00:00:00,29029.60,29299.95,28903.05,29152.35,3847920,1295200,
17 Oct2019,00:00:00,28530.50,29150.00,28530.50,29079.65,4636480,1424740,
16 Oct2019,00:00:00,28720.25,28807.00,28321.15,28604.75,4421960,1386680,
15 Oct2019,00:00:00,28300.00,28775.00,28251.00,28618.65,4260500,1457480,
14 Oct2019,00:00:00,28317.95,28790.00,28082.85,28209.80,4679600,1468680,
11 Oct2019,00:00:00,28300.00,28723.00,27805.00,28138.60,6034760,1527360,
10 Oct2019,00:00:00,28690.00,28690.00,27980.00,28106.60,4927420,1509280,
9 Oct2019,00:00:00,27870.00,28989.95,27774.00,28874.05,5902760,1351920,
7 Oct2019,00:00:00,27950.00,28277.00,27652.20,27871.55,4295320,1441060,
4 Oct2019,00:00:00,28801.05,28860.00,27778.00,27853.75,5835740,1645520,
3 Oct2019,00:00:00,28655.10,28919.80,28368.60,28570.85,4956440,1586560,
1 Oct2019,00:00:00,29440.00,29724.00,28218.00,28874.65,7322400,1513360,
30 Sep2019,00:00:00,29890.05,29955.60,29103.50,29324.70,4882340,1327640,
27 Sep2019,00:00:00,30201.00,30340.00,29882.95,30080.90,3918080,967320,
26 Sep2019,00:00:00,29678.65,30974.80,29676.40,29997.00,6146520,675960,
25 Sep2019,00:00:00,30073.95,30080.90,29511.00,29637.65,3982180,1004420,
24 Sep2019,00:00:00,30514.00,30674.95,29923.25,30250.15,5187460,1067280,
23 Sep2019,00:00:00,29996.50,30734.95,29591.00,30539.35,7173820,1228280,
20 Sep2019,00:00:00,26859.95,29424.95,26750.60,28989.95,11297460,1329460,
19 Sep2019,00:00:00,27175.00,27175.85,26683.10,26781.85,3857920,1500620,
18 Sep2019,00:00:00,27325.05,27470.00,27127.15,27193.05,3977820,1484340,
17 Sep2019,00:00:00,27799.90,27882.00,27079.00,27140.15,4700940,1529300,
16 Sep2019,00:00:00,27801.55,28095.00,27801.55,27889.90,3784760,1515240,
13 Sep2019,00:00:00,27749.95,28200.00,27585.40,28163.85,4231980,1594100,
12 Sep2019,00:00:00,27855.65,28094.90,27770.50,27824.45,3486040,1553340,
11 Sep2019,00:00:00,27660.55,27897.00,27594.40,27830.20,2786420,1727120,
9 Sep2019,00:00:00,27200.00,27609.00,27035.00,27551.35,3354740,1677020,
6 Sep2019,00:00:00,27025.05,27398.00,27025.05,27306.00,3323480,1598880,
5 Sep2019,00:00:00,27160.05,27335.00,26862.05,26994.15,4215160,1655680,
4 Sep2019,00:00:00,26824.35,27380.90,26712.00,27219.25,4513080,1564860,
3 Sep2019,00:00:00,27321.05,27333.00,26802.00,26873.50,3540300,1645760,
30 Aug2019,00:00:00,27501.15,27686.00,27151.50,27520.90,4633900,1450340,
29 Aug2019,00:00:00,27749.90,27750.00,27240.00,27302.40,4127060,771340,
28 Aug2019,00:00:00,28085.25,28118.15,27621.05,27837.65,3467980,1307880,
27 Aug2019,00:00:00,28090.00,28245.85,27917.00,28116.50,3982620,1347980,
26 Aug2019,00:00:00,27624.40,27985.00,26822.00,27921.50,6375160,1437600,
23 Aug2019,00:00:00,26895.00,27250.00,26615.60,27016.00,4816820,1661560,
22 Aug2019,00:00:00,27715.00,27746.05,26971.00,27021.80,3660380,1739280,
21 Aug2019,00:00:00,28050.30,28129.95,27668.20,27739.80,3272620,1572440,
20 Aug2019,00:00:00,28220.25,28220.40,27822.00,27995.05,3186660,1435140,
19 Aug2019,00:00:00,28335.10,28485.30,28122.05,28203.00,2856900,1494780,
16 Aug2019,00:00:00,27950.00,28310.00,27750.00,28260.55,3197400,1599360,
14 Aug2019,00:00:00,27850.15,28149.00,27759.00,27994.30,3100420,1585600,
13 Aug2019,00:00:00,28399.95,28490.00,27682.50,27737.80,3444820,1676380,
9 Aug2019,00:00:00,28400.05,28625.00,28330.55,28474.10,3028960,1562700,
8 Aug2019,00:00:00,27813.10,28370.00,27611.40,28239.90,4219380,1770680,
7 Aug2019,00:00:00,28098.90,28242.00,27690.30,27748.45,3896480,1840180,
6 Aug2019,00:00:00,27651.10,28240.00,27651.00,28109.75,3364480,1791960,
5 Aug2019,00:00:00,27825.00,28015.60,27510.00,27795.75,4335760,1934960,
2 Aug2019,00:00:00,28244.40,28684.95,28050.90,28327.30,4779100,1723460,
1 Aug2019,00:00:00,28805.65,28924.00,28140.55,28499.30,4291380,1675780,
31 Jul2019,00:00:00,28685.00,29077.95,28655.85,28972.35,3498200,1440500,
30 Jul2019,00:00:00,29500.05,29588.15,28801.10,28853.40,3589060,1406460,
29 Jul2019,00:00:00,29645.90,29680.00,29196.00,29373.15,2615740,1398060,
26 Jul2019,00:00:00,29265.50,29510.00,29125.60,29465.65,2488940,1381100,
25 Jul2019,00:00:00,28998.45,29237.80,28920.00,29022.80,2916900,432180,
24 Jul2019,00:00:00,29150.75,29292.00,28928.00,28976.40,2986340,961320,
23 Jul2019,00:00:00,29414.90,29439.35,29127.65,29194.70,3239580,1114480,
22 Jul2019,00:00:00,29650.00,29698.65,29265.00,29389.65,2975640,1207340,
19 Jul2019,00:00:00,30520.00,30534.65,29726.05,29781.35,3364580,1461240,
18 Jul2019,00:00:00,30686.95,30745.00,30410.55,30448.65,2111820,1668280,
17 Jul2019,00:00:00,30574.00,30778.00,30542.00,30737.75,2056040,1657140,
16 Jul2019,00:00:00,30510.05,30650.00,30428.25,30590.60,1945820,1646860,
15 Jul2019,00:00:00,30697.50,30699.95,30323.60,30456.50,2078600,1700620,
12 Jul2019,00:00:00,30747.95,30848.80,30562.00,30600.50,2408380,1759600,
11 Jul2019,00:00:00,30699.00,30831.70,30600.05,30717.10,2125000,1725120,
10 Jul2019,00:00:00,30669.95,30793.85,30412.00,30507.70,2495920,1778720,
9 Jul2019,00:00:00,30606.00,30780.00,30451.00,30639.65,2556400,1812680,
8 Jul2019,00:00:00,31310.00,31373.00,30606.00,30689.15,3408160,1894460,
5 Jul2019,00:00:00,31568.95,31727.60,31353.55,31503.30,3226880,1921060,
4 Jul2019,00:00:00,31525.60,31689.75,31500.05,31548.20,2189740,1851180,
3 Jul2019,00:00:00,31410.00,31570.25,31357.60,31495.90,1822480,1733260,
2 Jul2019,00:00:00,31530.05,31530.05,31176.75,31403.90,2535140,1723440,
1 Jul2019,00:00:00,31400.25,31559.85,31351.15,31496.30,1695360,1702140,
28 Jun2019,00:00:00,31333.40,31422.10,31207.60,31267.45,2204600,1684340,
27 Jun2019,00:00:00,31250.05,31480.00,31139.25,31274.75,3232400,416360,
26 Jun2019,00:00:00,30790.00,31209.15,30779.35,31172.60,2418820,1196820,
25 Jun2019,00:00:00,30589.95,30950.00,30480.00,30878.60,2912000,1506840,
24 Jun2019,00:00:00,30675.05,30768.00,30533.65,30631.25,1986100,1776960,
21 Jun2019,00:00:00,30699.95,30799.90,30515.00,30638.10,2647920,1928500,
20 Jun2019,00:00:00,30377.85,30809.00,30276.00,30768.05,3388820,1876360,
19 Jun2019,00:00:00,30506.35,30663.05,30213.90,30350.20,3337540,1637380,
18 Jun2019,00:00:00,30349.95,30584.00,30200.00,30331.00,3470160,1561020,
17 Jun2019,00:00:00,30599.00,30614.45,30306.00,30325.95,2250060,1649440,
14 Jun2019,00:00:00,30955.10,31042.00,30503.15,30611.40,2955500,1826660,
13 Jun2019,00:00:00,30888.00,31090.70,30665.00,31025.25,3077960,1754380,
12 Jun2019,00:00:00,31220.00,31240.00,30906.20,31005.50,2261720,1959020,
11 Jun2019,00:00:00,31200.00,31374.90,30974.90,31246.90,2690600,1996900,
10 Jun2019,00:00:00,31296.30,31391.65,30866.00,31044.70,2877080,2020040,
